,제목,가격,리뷰수,리뷰평점,평점비율
0,"*mazon Basics 3-Shelf Adjustable, Heavy Duty Storage Shelving Unit (250 lbs loading capacity per shelf), Steel Organizer Wire Rack, Chrome (23.3L x 13.4W x 30H)",$37.87,"15,525",4.6,"['78%', '13%', '5%', '2%', '3%']"
1,*USELILY Women's Summer Waffle Knit Short Sleeve Tunic Tops V Neck Henley Loose Blouses Shirts,$22.99,251,4,"['53%', '18%', '14%', '7%', '7%']"
2,*ecome a Bestseller on Amazon.com; Vendor Central and Seller Central FBA Sales Strategy for Beginner to Intermediate Sellers,Out of Stock,371,4.2,"['59%', '16%', '12%', '7%', '6%']"
3,*he Underground Railroad (Pulitzer Prize Winner) (National Book Award Winner) (Oprah's Book Club): A Novel,$10.71,"14,602",4.5,"['69%', '18%', '8%', '3%', '3%']"
4,*he Power of Your Subconscious Mind,$2.19,"35,110",4.6,"['79%', '11%', '5%', '2%', '2%']"
5,*he Scarlet Letter (E-Bookarama Classics),$0.46,"6,255",4.5,"['74%', '12%', '6%', '2%', '5%']"
6,*ulu Candles | Pineapple Evergreen | Luxury Scented Soy Jar Candle | Hand Poured in The USA | Highly Scented & Long Lasting | 9 Oz. NO LID/NO Box,Out of Stock,"27,757",4.5,"['75%', '12%', '6%', '3%', '4%']"
7,*edsure Satin Pillowcase for Hair and Skin Queen - Dark Grey Silk Pillowcase 2 Pack 20x30 inches - Satin Pillow Cases Set of 2 with Envelope Closure,$8.99,"179,911",4.5,"['73%', '15%', '7%', '2%', '3%']"
8,"*Tech Sit-to-Stand Learning Walker (Frustration Free Packaging), Lavender (Amazon Exclusive)",$37.99,"55,395",4.8,"['88%', '8%', '2%', '1%', '1%']"
9,*mazon Essentials Women's Classic-Fit Long Sleeve Button Down Poplin Shirt,$18.05 - $22.40,"5,484",4.3,"['63%', '18%', '10%', '4%', '5%']"
10,"*mazon Brand - Presto! Flex-a-Size Paper Towels, Huge Roll, 12 Count = 30 Regular Rolls",$24.29,"63,454",4.7,"['81%', '12%', '5%', '1%', '1%']"
11,"*enture Pal Large 1 Gallon Motivational Water Bottle with 2 Lids (Chug and Straw), Leakproof BPA Free Tritan Sports Water Jug with Time Marker to Ensure You Drink Enough Water Throughout The Day",$21.99,"14,187",4.7,"['84%', '9%', '4%', '1%', '2%']"
12,"*oyager Step-in Plush Dog Harness - Soft Plush, Step in Vest Harness for Small and Medium Dogs by Best Pet Supplies",$12.89,128,4.1,"['60%', '13%', '12%', '7%', '8%']"
13,"*avmix 100% Silk Pillowcase for Hair and Skin with Hidden Zipper, Both Sides 21Momme Mulberry Silk, 1PCS, King Size 20×36inches, Beige",$31.99,"24,564",4.6,"['76%', '14%', '6%', '2%', '3%']"
14,"*zeri ZK14-AB Pronto Digital Multifunction Kitchen and Food Scale, Standard, Silver On Black",$10.27,"66,193",4.7,"['81%', '12%', '4%', '1%', '2%']"
15,*EEF Men's Fanning Flip-Flop,$35.42 - $89.25,"28,649",4.7,"['82%', '10%', '4%', '2%', '2%']"
16,"*cer Aspire 5 A515-46-R14K Slim Laptop | 15.6"" Full HD IPS | AMD Ryzen 3 3350U Quad-Core Mobile Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Backlit KB | Amazon Alexa | Windows 10 Home (S Mode)",$384.00,46,4.2,"['65%', '15%', '7%', '5%', '8%']"
17,"*aby Wipes, Huggies Natural Care Sensitive Baby Diaper Wipes, Unscented, Hypoallergenic, 12 Flip-Top Packs (768 Wipes Total)",$19.97,"47,568",4.9,"['91%', '6%', '2%', '0%', '1%']"
18,*ippo Workout Tops for Women Yoga Shirts Open Back Tank Tops Athletic Tops Gym Workout Clothes,$16.98,"4,091",4.4,"['68%', '15%', '9%', '4%', '4%']"
19,*mazon Essentials Women's Relaxed-Fit Short-Sleeve Scoopneck Swing Tee,$16.30,"4,931",4.4,"['67%', '17%', '9%', '3%', '3%']"
20,*f Animals Kissed Good Night,$4.44,"49,825",4.8,"['87%', '8%', '3%', '1%', '1%']"
21,"*mazon Elements Turmeric Complex, 316 mg Curcumin, 140 mg Ginger, 5 mg Black Pepper - Joint & Immune System, Healthy Inflammation Response - 65 Capsules (2 month supply)",Out of Stock,"1,484",4.6,"['73%', '16%', '7%', '1%', '2%']"
22,"*ilicone Utensil Rest with Drip Pad for Multiple Utensils, Heat-Resistant, BPA-Free Spoon Rest & Spoon Holder for Stove Top, Kitchen Utensil Holder for Spoons, Ladles, Tongs & More - by Zulay (Black)",$9.99,"16,365",4.7,"['79%', '14%', '5%', '1%', '1%']"
23,"*YNOSURE Lace Front Human Hair Wigs for Black Women Pre Plucked Hairline 150% Denisty Brazilian Water Wave Lace Front Wigs with Baby Hair Natural Black Color(18, Water Wave Wig)",$141.69,"4,410",4.2,"['65%', '13%', '7%', '5%', '11%']"
24,"*OSORI Air Fryer Max XL(100 Recipes) Digital Hot Oven Cooker, One Touch Screen with 13 Cooking Functions, Preheat and Shake Reminder, 5.8 QT, Black",$119.99,"52,222",4.7,"['84%', '10%', '3%', '1%', '2%']"
25,*achee Leaves Laptop Shoulder Messenger Bag Case Sleeve for 14 Inch 15 Inch Laptop Case Laptop Briefcase 15.6 Inch,$18.99,326,4.8,"['86%', '10%', '2%', '1%', '1%']"
26,"*ucky Doug 12-in-1 STEM Solar Robot Kit Toys Gifts for Kids 8 9 10 11 12 13 Years Old, Educational Building Science Experiment Set Gifts for Kids Boys Girls",$24.99,"3,780",4.2,"['63%', '17%', '9%', '4%', '8%']"
27,*GENJUN Women's Casual Loose Hollowed Out Shoulder Three Quarter Sleeve Shirts,Out of Stock,"6,415",4.3,"['64%', '16%', '11%', '4%', '5%']"
28,*MVELOP Elastic Tank Tops for Women Undershirts Pack of 4 Slim-Fit,Out of Stock,"5,010",4,"['55%', '16%', '14%', '7%', '8%']"
29,"*uicer, Juice Extractor, Aicook Juicer Machine with 3'' Wide Mouth, 3 Speed Centrifugal Juicer for Fruits and Vegs, with Non-Slip Feet, BPA-Free",$46.99,540,4.2,"['62%', '18%', '9%', '3%', '9%']"
30,"*mazon Basics Flat Weight Workout Exercise Bench, Black",Out of Stock,"3,819",4.6,"['76%', '15%', '5%', '1%', '3%']"
31,"*layskool Sit ‘n Spin Classic Spinning Activity Toy for Toddlers Ages Over 18 Months (Amazon Exclusive),Multicolor",$34.99,"25,257",4.7,"['82%', '11%', '4%', '1%', '1%']"
32,"*ruit of the Loom womens Spaghetti strap Pullover Sports Bra, 3-Pack",$12.50,108,4.4,"['71%', '16%', '3%', '4%', '5%']"
33,*olorfulkoala Women's High Waisted Yoga Pants 7/8 Length Leggings with Pockets,$25.00 - $29.00,"36,353",4.6,"['78%', '11%', '6%', '2%', '3%']"
34,*unJey Round Neck Triple Color Block Stripe T-Shirt,$16.99,"36,193",4.4,"['66%', '17%', '9%', '4%', '4%']"
35,"*ir Fryer Oven 17-Quart, OMMO 1800W Countertop Air Fryer Toaster Oven Combo with Rotisserie & Dehydrator, Digital Controls, 8 Presets, Rich Accessories & Cookbook (40+ Recipes), ETL Certified",Out of Stock,"1,045",4.6,"['80%', '11%', '4%', '2%', '3%']"
36,*mazon Basics 3.2 Quart Compact Multi-Functional Digital Air Fryer,$79.99,"1,706",4.5,"['73%', '16%', '5%', '2%', '3%']"
37,*mazon Essentials Women's 2-Pack Classic-Fit Short-Sleeve V-Neck T-Shirt,$20.70,"27,429",4.5,"['69%', '17%', '8%', '3%', '3%']"
38,"*nstant Pot Duo Crisp 11 in 1, Electric Pressure Cooker with Air Fryer, Roast, Bake, Dehydrate, Slow Cook, Rice Cooker, Steamer, Saute, 8 Quart, 14 One-Touch Programs",$199.95,"21,144",4.7,"['85%', '9%', '3%', '1%', '2%']"
39,"*xclusive Home Curtains Wilshire Burnout Sheer Window Curtain Panel Pair with Grommet Top, 54x84, Winter White, 2 Count",$39.93,516,4.6,"['80%', '10%', '5%', '2%', '3%']"
40,*arner's Women's Blissful Benefits No Muffin Top 3 Pack Hipster Panties,$7.00 - $30.00,"39,380",4.6,"['77%', '12%', '6%', '2%', '2%']"
41,"*hefman Multifunctional Digital Air Fryer+ Rotisserie, Dehydrator, Convection Oven, 17 Touch Screen Presets Fry, Roast, Dehydrate & Bake, Auto Shutoff, Accessories Included, XL 10L Family Size, Black",Out of Stock,"1,534",4.6,"['77%', '12%', '4%', '2%', '5%']"
42,*mazon Basics Cat Condo Tree Tower with Hammock Bed and Scratching Post,$26.99,"29,400",4.7,"['82%', '11%', '4%', '1%', '1%']"
43,"*OSORI Smart WiFi Air Fryer(100 Recipes), 13 Cooking Functions, Keep Warm & Preheat & Shake Remind, Works with Alexa & Google Assistant, 5.8 QT, Black",$112.02,"16,270",4.7,"['81%', '11%', '3%', '1%', '3%']"
44,*abales Women's 3-Pack Seamless Wireless Sports Bra with Removable Pads,$9.99 - $25.99,"21,675",4.1,"['57%', '16%', '13%', '6%', '8%']"
45,*ust Love Printed Plush Robe for Women,$34.99,"12,062",4.6,"['79%', '12%', '5%', '2%', '3%']"
46,"*OSORI Air Fryer Toaster Oven Combo Smart 12-in-1 Countertop Dehydrator, 100 Recipes & Accessories Included, Work with Alexa, 30L, WIFI-Black",$191.08,"1,393",4.6,"['77%', '15%', '5%', '2%', '2%']"
47,*ay-Ban Rb3025 Classic Mirrored Aviator Sunglasses,$161.00,"17,239",4.6,"['81%', '8%', '4%', '2%', '5%']"
48,"*mazon Basics 8-Sheet Capacity, Cross-Cut Paper and Credit Card Shredder, 4.1 Gallon",$35.77,"129,328",4.6,"['78%', '14%', '4%', '1%', '3%']"
49,"*ather Brown Complete Murder Mysteries: The Innocence of Father Brown, The Wisdom of Father Brown, The Donnington Affair…",$2.19,"1,664",4.2,"['58%', '20%', '13%', '5%', '4%']"
50,"*nstant Vortex Plus 7-in-1 Air Fryer Oven with built-in Smart Cooking Programs, Digital Touchscreen, Easy to Clean Basket, 10 Quart Capacity, and a Stainless Finish",$99.95,"17,160",4.5,"['75%', '14%', '5%', '2%', '4%']"
51,*cyzone Workout Tank Tops for Men - Running Muscle Tank Exercise Gym Tops Athletic Shirts,$14.79 - $16.99,57,4.1,"['59%', '13%', '14%', '6%', '8%']"
52,"*mazon Basics 100 Pack AAA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack",$23.99,"318,654",4.7,"['82%', '12%', '4%', '1%', '2%']"
53,"*rest Charcoal 3D White Toothpaste, Whitening Therapy Deep Clean with Fluoride, Invigorating Mint, 4.1 Ounce, Pack of 3",$15.72,"13,821",4.7,"['80%', '12%', '5%', '1%', '1%']"
54,*UHHRRY womens Shirt Tunic,$24.48,240,3.5,"['37%', '20%', '16%', '10%', '17%']"
55,*CEVOG Womens Casual Scoop Neck Loose Top 3/4 Sleeve Chiffon Blouse Shirt Tops,$24.99,"4,711",3.9,"['51%', '16%', '13%', '7%', '12%']"
56,*e Nepho Womens Tank Tops Wide Strap Tank Top Scoop Neck Cami 4-Pack,Out of Stock,"1,515",4,"['55%', '17%', '12%', '7%', '9%']"
57,*heIn Women's Casual Side Bow Tie Neck Short Sleeve Blouse Shirt Top,$19.99,"6,584",4,"['53%', '17%', '13%', '7%', '10%']"
58,*omen's Floral Printed Short Sleeve Henley V Neck T-Shirt Pleated Casual Flowy Tunic Blouse Tops,$32.99,"8,747",4.4,"['68%', '16%', '8%', '4%', '4%']"
59,*EASIKERY Women's Blouse Short Sleeve Floral Print T-Shirt Comfy Casual Tops for Women 002,$13.99,"1,225",4.1,"['57%', '17%', '13%', '7%', '7%']"
60,"*marter Nutrition Curcumin - Potency and Absorption in a SoftGel - The Most Active Form of Curcuminoid - 95% Tetra-Hydro Curcuminoids, 1 pack of 60 capsules - 30 Servings (Packaging May Vary)",$39.95,"7,513",4.6,"['76%', '13%', '6%', '2%', '3%']"
61,*rinStory Women's Fall Casual V-Neck Soft Raglan Long Sleeves Sweatshirts Tops Basic T-Shirt Split Blouse with Side Zipper,Out of Stock,"9,027",4.2,"['59%', '18%', '12%', '5%', '7%']"
62,*eSe Code Womens 3/4 Roll Sleeve Shirt Notch Neck Loose Tops Plaid Tunic Blouse,$27.99,"4,147",4,"['55%', '17%', '12%', '6%', '10%']"
63,"*tekcity Digital Body Weight Bathroom Scale with Step-On Technology, 400 Lb, Body Tape Measure Included, Silver",$19.99,"1,571",4.7,"['82%', '12%', '2%', '1%', '2%']"
64,"*cyzone Workout Tank Tops for Women - Racerback Athletic Yoga Tops, Running Gym Shirts (Pack of 2)",$17.79 - $19.99,104,4.3,"['65%', '15%', '9%', '7%', '4%']"
65,"*ISSELL Cleanview Swivel Pet Upright Bagless Vacuum Cleaner, Green, 2252",$109.99,"44,996",4.7,"['80%', '14%', '3%', '1%', '2%']"
66,"*ellanni Bed Sheet Set - 1800 Bedding - Wrinkle, Fade, Stain Resistant - 4 Piece (King, Light Gray)",$37.97,"232,875",4.5,"['74%', '14%', '6%', '3%', '3%']"
67,*hink and Grow Rich,$1.99,"52,779",4.7,"['83%', '9%', '4%', '1%', '2%']"
68,*ullstar Vegetable Chopper - Spiralizer Vegetable Slicer - Onion Chopper with Container - Pro Food Chopper - Black Slicer Dicer Cutter - 4 Blades,$25.99,"28,081",4.6,"['76%', '14%', '5%', '2%', '3%']"
69,"*Tech Rock and Bop Music Player Amazon Exclusive, Pink",$14.90,"17,630",4.6,"['76%', '14%', '7%', '2%', '2%']"
70,*weatyRocks Women's Short Sleeve T Shirt Graphic Print Distressed Crop Top,$8.99 - $16.99,"5,507",4.3,"['66%', '13%', '10%', '4%', '6%']"
71,*el Nail Polish Kit with UV Light 20 Colors Nude Black Blue Pink Gel Nail Polish 24W LED Nail Lamp Starter Kit Soak Off Base and Top Coat Nail Art Decorations Nail Salon DIY at Home,Out of Stock,0,0,"['0%', '0%', '0%', '0%', '0%']"
72,"*mazonBasics 8-Sheet Strip-Cut Paper, CD, and Credit Card Shredder",$28.32,"24,649",4.6,"['74%', '15%', '6%', '2%', '3%']"
73,*ow to Sell on Amazon in 2020: 7 FBA Secrets That Turn Beginners into Best Sellers,Out of Stock,967,4.2,"['60%', '16%', '13%', '6%', '6%']"
74,*orkout Tank and Sports Bra Set Yoga Exercise Tops for Women Racerback Gym Training Shirt Plus Size Petite,Out of Stock,0,0,"['0%', '0%', '0%', '0%', '0%']"
75,"*UTTY TOYS Push Pop Bubble Fidget Toy - Stress & Anxiety Relief Sensory Gadget for Kids & Adults - Top Autism & ADHD Gift for Teens, Tweens & Toddlers; Unique Boys & Girls Easter & Birthday Present",$6.97,481,4.6,"['78%', '11%', '6%', '2%', '3%']"
76,*errell Men's Jungle Moc Slip-On Shoe,$41.82 - $206.46,"21,938",4.7,"['81%', '12%', '4%', '2%', '2%']"
77,*alomon Men's Speedcross 4 Trail Running Shoes,$90.93 - $130.00,"17,177",4.6,"['80%', '10%', '4%', '2%', '4%']"
78,*immery Woman Short Sleeve Round Neck Criss Cross Back Yoga Shirt,$17.99 - $25.99,"1,679",4.1,"['57%', '17%', '13%', '6%', '7%']"
79,"*nstant Pot Vortex Plus 6-in-1 Air Fryer, 6 Quart, 6 One-Touch Programs, Air Fry, Roast, Broil, Bake, Reheat, and Dehydrate",$119.95,"6,837",4.7,"['84%', '9%', '3%', '1%', '3%']"
80,"“Sunbeam Steammaster Steam Iron | 1400 Watt Large Anti-Drip Nonstick Stainless Steel Iron with Steam Control and Retractable Cord, Chrome/Blue”.",$30.75,"12,686",4.6,"['76%', '15%', '5%', '2%', '3%']"
81,"*mazon Basics Silicone, Non-Stick, Food Safe Baking Mat - Pack of 2",$12.44,"67,754",4.7,"['83%', '11%', '3%', '1%', '1%']"
82,*mazon Essentials Women's Relaxed-Fit Short-Sleeve V-Neck Tunic,$14.90 - $15.00,"4,470",4.3,"['64%', '17%', '10%', '4%', '5%']"
83,"*cer Aspire 5 A515-55-35SE, 15.6"" Full HD Display, 10th Gen Intel Core i3-1005G1 Processor, 4GB DDR4, 128GB NVMe SSD, Intel WiFi 6 AX201, Backlit KB, Fingerprint Reader, Windows 10 Home (S Mode)",$401.29,"1,486",4.6,"['75%', '15%', '4%', '1%', '3%']"
84,"*Steam Steamer for Clothes [Home Steam Cleaner] Powerful Travel Steamer 7-in-1. Handheld Garment Steamer, Wrinkle Remover. Portable Fabric Steam Iron. Clothing Accessory for USA 110-120v [H106]",$31.97,"11,651",4.2,"['62%', '16%', '9%', '5%', '9%']"
85,*OP BRIGHT Toddler Toys For 1 2 Year Old Boy And Girl Gifts Wooden Race Track Car Ramp Racer With 4 Mini Cars,$19.99,"7,718",4.6,"['78%', '13%', '5%', '2%', '2%']"
86,"*eyblade Burst Turbo Slingshock Rail Rush Battle Set -- Complete Set with Beyblade Burst Beystadium, Battling Tops, and Launchers (Amazon Exclusive)",$43.96,"10,295",4.6,"['76%', '13%', '6%', '2%', '2%']"
87,"*IONOR Swim Goggles, G1 Polarized Swimming Goggles Anti-Fog for Adult Men Women",$22.99,"1,590",4.7,"['81%', '11%', '4%', '1%', '2%']"
88,*CEVOG Womens Casual Scoop Neck Loose Top 3/4 Sleeve Chiffon Blouse Shirt Tops,$26.98,"4,711",3.9,"['51%', '16%', '13%', '7%', '12%']"
89,*omwe Women's Color Block Blouse Short Sleeve Casual Tee Shirts Tunic Tops,$18.99,"4,064",3.7,"['45%', '16%', '15%', '10%', '14%']"
90,"*isher-Price Laugh & Learn Pull & Play Learning Wagon, pull-toy wagon with music, lights, and learning songs for babies & toddlers ages 6-36 months [Amazon Exclusive]",$37.47,"3,457",4.8,"['88%', '8%', '3%', '0%', '1%']"
91,"*ce Maker Machine for Countertop, Self-Cleaning Function, 26Lbs/24H Portable Ice Maker, 9 Cubes Ready in 6 Mins, Compact Ice Cube Maker with Ice Scoop & Basket for Home Kitchen Office Bar (Black)",$159.99,480,4.6,"['81%', '9%', '4%', '1%', '5%']"
92,"*P Chromebook 11-inch Laptop - Up to 15 Hour Battery Life - MediaTek - MT8183 - 4 GB RAM - 32 GB eMMC Storage - 11.6-inch HD Display - with Chrome OS - (11a-na0021nr, 2020 Model, Snow White)",$237.99,698,4.5,"['72%', '15%', '6%', '3%', '4%']"
93,*uccefods Womens Workout Tank Tops Yoga Shirts Mesh Racerback Sports Training Running Tank Tops Workout Clothes,$16.99,559,4.4,"['67%', '18%', '9%', '4%', '3%']"
94,"*mazon Basics Medium Cat Scratching Post - 16 x 16 x 32 Inches, Gray",$18.40,"2,378",4.6,"['76%', '14%', '4%', '2%', '4%']"
95,*a Blanca Women's Triangle Halter Bra Bikini Swimsuit Top,$11.81 - $75.00,82,4.4,"['68%', '15%', '9%', '5%', '3%']"
96,"*OSORI CO130-AO Air Fryer Toaster Combo 30L 12 Functions Large Countertop Oven, Rotisserie & Dehydrator with 1800W, 100 Recipes & 6 Accessories Included",$199.99,"5,575",4.5,"['74%', '16%', '5%', '2%', '3%']"
97,"*uWave Brio 6-Quart Air Fryer with App Recipes (Black) Includes Basket Divider, One-Touch Digital Controls, 6 Easy Presets, Wattage Control, and Advanced Functions like SEAR, PREHEAT, DELAY, WARM and More (NEW UPDATED MODEL)",$99.99,"5,155",4.5,"['76%', '12%', '5%', '2%', '5%']"
98,*he Nightingale: A Novel,$8.40,"70,595",4.8,"['87%', '9%', '2%', '1%', '1%']"
99,"*hefman TurboFry 2 Quart Air Fryer, Personal Compact Healthy Fryer w/ Adjustable Temperature Control, 30 Minute Timer and Dishwasher Safe Basket, Black",$29.99,"11,141",4.6,"['76%', '13%', '6%', '2%', '3%']"
100,*SQTBA Womens Short Sleeve V Neck T Shirts Loose Casual Summer Tops Tees with Pocket,$18.99,"13,172",4.3,"['65%', '17%', '9%', '4%', '5%']"
101,"*oshiba EM131A5C-BS Microwave Oven with Smart Sensor Easy Clean Interior, ECO Mode and Sound On-Off, 1.2 Cu. ft, Black Stainless Steel",$123.99,"28,726",4.6,"['76%', '14%', '4%', '2%', '4%']"
102,*pilled Milk: Based on a true story,Out of Stock,"14,308",4.8,"['85%', '10%', '3%', '1%', '1%']"
103,"*otel Luxury Bed Sheets Set-SALE TODAY ONLY! On Amazon-Top Quality Soft Bedding 1800 Series Platinum Collection-100%!Deep Pocket, Wrinkle & Fade Resistant(Queen,Burgundy)",$29.99,"67,454",4.5,"['72%', '14%', '7%', '3%', '4%']"
104,*ignature by Levi Strauss & Co. Gold Label Women's Modern Skinny Jeans,$16.28 - $68.43,"39,352",4.4,"['70%', '14%', '7%', '3%', '5%']"
105,"*EM Lenovo ThinkCentre M910 Tiny M910q Intel Quad Core i5-6500T, 8GB RAM, 250GB SSD, WiFi Intel 8265-AC, W10P Business Desktop",$869.95,26,4.6,"['69%', '20%', '11%', '0%', '0%']"
106,*mazon Basics Portable Foldable Photo Studio Box with LED Light - 25 x 30 x 25 Inches,$139.99,"3,140",4.6,"['77%', '12%', '5%', '2%', '3%']"
107,"*Cucina Air Fryer |10 Qt Actual Capacity 1700W Power Frier| Non-Stick Basket Cooker With Additional Accessories|Oil Free 360 Rotating Mesh Basket Chicken Rotisserie|Drip Tray For Easy Clean and Dehydrator Oven, 6-in-1 Countertop Oven, Digital LED Display, 9 Accessories Mini Oven",$116.99,11,4.2,"['57%', '20%', '12%', '12%', '0%']"
108,*old on a Monday: A Novel,$7.29,"16,289",4.4,"['62%', '24%', '10%', '3%', '2%']"
109,"*MMO Blender 1800w, Professional Countertop Blender Smoothie Maker with Built-in Timer, High Power Blender 68oz Cups for Smoothies, Blend, Chop, Grind",$119.00,532,4.5,"['76%', '11%', '4%', '3%', '6%']"
110,$100 PlayStation Store Gift Card [Digital Code],Out of Stock,"232,821",4.7,"['89%', '4%', '2%', '1%', '4%']"
111,"*OPPIN Cordless Stick Vacuum Cleaner - 23KPa Powerful Suction for Pet Family, 8 in 1 Lightweight Stick Handheld Vacuum with 34min Detachable Battery, 250W Brushless Motor for Hard Floor Carpet Car",$119.99,757,4.5,"['73%', '15%', '4%', '3%', '5%']"
112,*nder Armour Men's Tech Tank 2.0,$16.07 - $42.97,"3,050",4.6,"['74%', '15%', '7%', '2%', '2%']"
113,"*EMI Dinosaur Toy Figure w/ Activity Play Mat & Trees, Educational Realistic Dinosaur Playset to Create a Dino World Including T-Rex, Triceratops, Velociraptor, Perfect Gifts for Kids, Boys & Girls",$24.60,"21,602",4.4,"['70%', '13%', '9%', '3%', '4%']"
114,*omens Summer Tops Short Sleeve Color Block Striped Shirts Casual Blouse Tunic Blouse,$23.98,39,3.6,"['39%', '19%', '21%', '9%', '12%']"
115,*rinStory Women's Casual Tops Short Sleeve V-Neck Shirts Loose Blouse Basic Tee T-Shirt,$19.98,"8,233",4.2,"['61%', '17%', '11%', '5%', '6%']"
116,*dibosy Women's Short Sleeve Tops Leopard Color Block T Shirt Casual Tunic Crew Neck Striped Shirts S-XXL,Out of Stock,"2,264",4.3,"['64%', '19%', '9%', '4%', '4%']"
117,*EMOFON Women's Top Summer Short Sleeve Tops Crew Neck Casual Loose T-Shirts Blouse Tunic S-2XL,$19.99,"1,431",4.3,"['63%', '18%', '10%', '4%', '5%']"
118,*omwe Women's Loose Ruffle Hem Short Sleeve High Low Peplum Blouse Top,$25.99,"5,981",3.8,"['51%', '14%', '13%', '9%', '13%']"
119,*WOLLENCE Womens Waffle Knit Tunic Blouse Tie Knot Short Sleeve Henley Tops Loose Fitting Bat Wing Shirts,$22.99,"7,129",4.4,"['66%', '17%', '9%', '4%', '4%']"
120,"*EMI Dinosaur Toy Figure w/ Activity Play Mat & Trees, Educational Realistic Dinosaur Playset to Create a Dino World Including T-Rex, Triceratops, Velociraptor, Perfect Gifts for Kids, Boys & Girls",$24.60,"21,602",4.4,"['70%', '13%', '9%', '3%', '4%']"
